縣市,門市,抽選時間,型號,商品,抽獎連結,官方帳號,加好友連結,已抽
台北市,Funbox-南港潤泰店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 暴風天馬3-70RA（$595）,https://lin.ee/79aYEfH,,,
台北市,Funbox-南港潤泰店,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍3-60F V2（$350）,https://lin.ee/V2XrEqY,,,
台北市,Funbox-南港潤泰店,2026/09/11 11:00~2026/09/12 21:00,BX-26,BX-26 獨角刺心（$295）,https://lin.ee/xrvbsaJ,,,
台北市,Funbox-南港潤泰店,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/9ORwvJh,,,
台北市,Funbox-南港潤泰店,2026/09/11 11:00~2026/09/12 21:00,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/x5H1ZjY,,,
台北市,Funbox-南港潤泰店,2026/09/11 11:00~2026/09/12 21:00,BXG-01,BXG-01 烈焰飛鳳S（$350）,https://lin.ee/PtEatZV,,,
台北市,Funbox-南港潤泰店,2026/09/11 11:00~2026/09/12 21:00,BXG-04,BXG-04 銀牙烈虎S（$350）,https://lin.ee/8FfX2UL,,,
台北市,來玩聚-北車地下街,2026/09/11 12:00~2026/09/12 20:30,BX-00,BX-00 暴風天馬3-70RA（$595）,https://lin.ee/ZDvzc3y,@453cqkyj,https://line.me/ti/p/~@453cqkyj,
台北市,來玩聚-北車地下街,2026/09/11 12:00~2026/09/12 20:30,BX-33,BX-33 皓戰猛虎（$295）,https://lin.ee/qQ1H5jp,@453cqkyj,https://line.me/ti/p/~@453cqkyj,
台北市,來玩聚-北車地下街,2026/09/11 12:00~2026/09/12 20:30,UX-21,UX-21 惡魔幽冥改造組（$895）,https://lin.ee/YUyfSal,@453cqkyj,https://line.me/ti/p/~@453cqkyj,
台北市,來玩聚-北車地下街,2026/09/11 12:00~2026/09/12 20:30,CX-13,CX-13 龍王閃擊（$495）,https://lin.ee/65obJEn,@453cqkyj,https://line.me/ti/p/~@453cqkyj,
台北市,來玩聚-北車地下街,2026/09/11 12:00~2026/09/12 20:30,BXG-01,BXG-01 烈焰飛鳳S（$350）,https://lin.ee/n3AkNVM,@453cqkyj,https://line.me/ti/p/~@453cqkyj,
台北市,Fun box忠孝SOGO,2026/09/11 11:00~2026/09/12 21:00,BX-00,BX-00 蒼龍神劍（$350）,https://lin.ee/Q3x58xY,@lcn7452p,https://line.me/ti/p/~@lcn7452p,
台北市,Fun box忠孝SOGO,2026/09/11 11:00~2026/09/12 21:00,BX-37,"BX-37 雙重極限衝擊戰鬥盤 豪華組（$2,750）",https://lin.ee/6myV5gy,@lcn7452p,https://line.me/ti/p/~@lcn7452p,
台北市,Fun box忠孝SOGO,2026/09/11 11:00~2026/09/12 21:00,CX-00,"CX-00 新世紀福音戰士陀螺套組（$1,395）",https://lin.ee/Teeti1U,@lcn7452p,https://line.me/ti/p/~@lcn7452p,
